Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,JP_Sales,Other_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Reviewed
NHL Hitz 20-02,XB,2001,Sports,Midway Games,0.2,0,0.01,79,20,8.7,11,Black Box,E,YES
Test Drive,PS2,2002,Racing,Atari,0.95,0.01,0.18,73,19,7.4,23,Pitbull Syndicate,T,YES
Ace Combat Zero: The Belkan War,PS2,2006,Simulation,Namco Bandai Games,0.15,0.2,0.04,75,45,8.4,55,Namco,T,YES
Touch the Dead,DS,2007,Shooter,Eidos Interactive,0.2,0,0.02,56,31,5.6,5,Secret Stash Games,M,YES
Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,3.43,5.32,1.18,77,37,7.1,19,Nintendo,E,YES
Bubble Bobble Revolution,DS,2005,Puzzle,Atari,0.04,0,0,38,19,6.2,6,Taito Corporation,E,YES
Heavy Rain,PS3,2010,Adventure,Sony Computer Entertainment,1.29,0.06,0.47,87,107,7.7,2759,Quantic Dream,M,YES
TRINITY: Souls of Zill O'll,PS3,2010,Role-Playing,Ubisoft Annecy,0.06,0.03,0.01,55,34,6.2,33,Omega Force,T,YES
Ys: The Ark of Napishtim,PS2,2005,Role-Playing,Konami Digital Entertainment,0.07,0,0.02,72,35,8.8,14,Falcom,T,YES
Worldwide Soccer Manager 2008,PC,2007,Sports,Russel,0,0,0,86,15,8,19,Sports Interactive,E,YES
NBA Street Homecourt,PS3,2007,Sports,Electronic Arts,0.12,0,0.02,81,31,6.5,16,EA Canada,E,YES
MLB 15: The Show,PS4,2015,Sports,Sony Computer Entertainment,0.68,0,0.17,80,44,7.8,190,SCEA San Diego Studios,E,YES
Just Dance 2014,WiiU,2013,Misc,Ubisoft,0.31,0,0.05,72,13,7.6,45,Ubisoft,E10+,YES
Warship Gunner 2,PS2,2006,Simulation,Tecmo Koei,0.01,0,0,62,13,8.5,11,Micro Cabin,T,YES
Call of Duty 3,PS2,2006,Shooter,Activision,0.89,0,0.15,82,14,7.4,83,Treyarch,T,YES
"Warhammer 40,000: Dawn of War II - Retribution",PC,2011,Strategy,THQ,0,0,0.02,80,52,7.8,235,Relic,M,YES
Winning Eleven: Pro Evolution Soccer 2007,PSP,2006,Sports,Konami Digital Entertainment,0.01,0.12,0.01,81,10,8.3,14,KCET,E,YES
Assassin's Creed II,PC,2010,Action,Ubisoft,0.01,0,0.09,86,22,6.9,1611,Ubisoft Montreal,M,YES
Samurai Jack: The Shadow of Aku,PS2,2004,Action,Sega,0.03,0,0.01,59,21,8.4,10,Adrenium,T,YES
Duke Nukem: Land of the Babes,PS,2000,Shooter,Atari,0.04,0,0,37,7,6.8,20,n-Space,M,YES
Hot Shots Tennis: Get a Grip,PSP,2010,Sports,Sony Computer Entertainment,0.07,0.13,0.01,80,27,8,17,Clap Hanz,E,YES
JoJo's Bizarre Adventure: All Star Battle,PS3,2013,Fighting,Namco Bandai Games,0.05,0.5,0.01,71,53,8.3,55,CyberConnect2,T,YES
Frogger Beyond,GC,2002,Platform,Konami Digital Entertainment,0.1,0,0,60,6,7.2,5,Konami,E,YES
Lost: Via Domus,PS3,2008,Action,Ubisoft,0.19,0,0.09,54,30,6.9,28,Ubisoft Montreal,T,YES
Prince of Persia: The Forgotten Sands,PS3,2010,Action,Ubisoft,0.19,0.01,0.12,75,49,7.6,120,Ubisoft Montreal,T,YES
Madden NFL 2003,XB,2002,Sports,Electronic Arts,0.67,0,0.03,92,16,8.3,16,EA Tiburon,E,YES
Where the Wild Things Are,X360,2009,Platform,Warner Bros. Interactive Entertainment,0.1,0,0.01,51,10,5.4,5,Griptonite Games,E10+,YES
Pimp My Ride,X360,2006,Racing,Activision,0.1,0,0.01,38,14,3.8,29,Eutechnyx,T,YES
Metal Slug 7,DS,2008,Shooter,Ignition Entertainment,0.12,0.01,0.01,70,38,7.4,13,SNK Playmore,T,YES
Rory McIlroy PGA Tour,PS4,2015,Action,Electronic Arts,0.18,0,0.08,61,33,3.7,78,EA Tiburon,E,YES
Endgame,PS2,2002,Shooter,Empire Interactive,0.04,0,0.01,57,12,6.8,5,Cunning Developments,T,YES
NHL 2K3,GC,2002,Sports,Sega,0.01,0,0,89,11,7,6,Treyarch,E,YES
Sniper Elite 3,PS4,2014,Shooter,505 Games,0.24,0,0.11,67,41,7.1,178,Rebellion,M,YES
[Prototype],PS3,2009,Action,Activision,0.65,0,0.19,79,53,7.7,308,Radical Entertainment,M,YES
MindJack,PS3,2011,Shooter,Square Enix,0.07,0,0.03,44,31,1.7,46,FeelPlus,M,YES
NHL 08,X360,2007,Action,Electronic Arts,0.22,0,0.02,85,44,8.2,44,EA Canada,E10+,YES
Harry Potter and the Prisoner of Azkaban,PC,2004,Action,Electronic Arts,0,0,0,67,19,7.2,50,KnowWonder,E,YES
Homeworld 2,PC,2003,Strategy,Vivendi Games,0,0,0,83,31,8.3,128,Relic,T,YES
Starhawk,PS3,2012,Action,Sony Computer Entertainment,0.18,0.03,0.03,77,71,7.8,188,LightBox Interactive,T,YES
Tomb Raider: Underworld,PS3,2008,Action,Eidos Interactive,0.45,0.05,0.22,75,42,7.2,166,Nixxes Software,T,YES
Just Cause 3,PC,2015,Action,Square Enix,0.03,0,0.01,74,50,5.3,529,Avalanche Studios,M,YES
Top Spin 4,PS3,2011,Sports,Take-Two Interactive,0.17,0,0.13,82,37,7.7,55,2K Czech,E,YES
Harry Potter and the Sorcerer's Stone,GBA,2001,Action,Electronic Arts,0.87,0.08,0.08,64,8,7.1,7,Griptonite Games,E,YES
Mario Party 5,GC,2003,Misc,Nintendo,0.97,0.73,0.06,69,33,8.2,57,Hudson,E,YES
StokEd,X360,2009,Sports,Zushi Games,0.18,0,0.01,68,34,8.6,19,Bongfish,T,YES
Enemy Front,PS3,2014,Shooter,City Interactive,0.01,0,0.01,43,12,6,75,CI Games,M,YES
The SpongeBob SquarePants Movie,PS2,2004,Platform,THQ,1.06,0,0.16,75,5,9,54,Heavy Iron Studios,E,YES
Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,4.02,2.54,0.52,96,16,8.7,138,Polyphony Digital,E,YES
Star Wars Rogue Squadron III: Rebel Strike,GC,2003,Simulation,LucasArts,0.62,0,0.02,75,36,7.6,50,Factor 5,T,YES
Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,3.88,1.69,0.5,93,23,9,135,Polyphony Digital,T,YES
Dragon Ball Z: Extreme Butoden,3DS,2015,Fighting,Namco Bandai Games,0.12,0.16,0.02,61,32,6.6,32,Arc System Works,T,YES
TNA iMPACT: Cross the Line,PSP,2010,Fighting,SouthPeak Games,0.05,0,0,50,6,6.5,4,Point of View,T,YES
Yoshi's Woolly World,WiiU,2015,Platform,Nintendo,0.62,0.11,0.1,78,83,8.5,376,Good-Feel,E,YES
Phoenix Wright: Ace Attorney,DS,2005,Adventure,Capcom,0.44,0.39,0.05,81,53,9.2,203,Capcom,T,YES
25 to Life,XB,2006,Shooter,Eidos Interactive,0.12,0,0.01,41,20,7.2,13,"Ritual Entertainment, Avalanche Software",M,YES
Tiger Woods PGA Tour 10,X360,2009,Sports,Electronic Arts,0.39,0,0.06,80,51,6.9,20,EA Tiburon,E,YES
Warriors of the Lost Empire,PSP,2007,Role-Playing,Mercury Games,0.05,0,0,52,6,7.4,12,Platinum Egg,T,YES
Killzone: Liberation,PSP,2006,Shooter,Sony Computer Entertainment,0.44,0,0.18,77,56,8.3,80,Guerrilla,T,YES
X-Men Legends II: Rise of Apocalypse,PS2,2005,Role-Playing,Activision,0.53,0,0.09,82,44,7.3,41,Raven Software,T,YES
NBA Ballers: Chosen One,PS3,2008,Sports,Midway Games,0.12,0,0.01,54,23,6.5,4,Midway,E,YES
Calling,Wii,2009,Adventure,Konami Digital Entertainment,0.06,0,0.01,49,28,6.7,16,Hudson Entertainment,T,YES
Rugby 15,PS4,2015,Sports,Bigben Interactive,0.04,0,0.02,19,5,3.4,65,HB Studios Multimedia,E,YES
Life is Strange,PS4,2016,Adventure,Square Enix,0.15,0.03,0.06,85,23,8.6,672,DONTNOD Entertainment,M,YES
Call of Duty: Black Ops,PS3,2010,Shooter,Activision,5.99,0.48,1.79,88,58,6.4,1094,Treyarch,M,YES
1701 A.D.,PC,2006,Simulation,Deep Silver,0,0,0.04,79,30,8.3,38,Related Designs,E10+,YES
Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,3.56,0.98,0.62,97,87,9.1,1854,Nintendo EAD Tokyo,E,YES
Need for Speed Carbon,PS3,2006,Racing,Electronic Arts,0.49,0.03,0.2,75,31,7.3,42,EA Canada,E10+,YES
Knights of Honor,PC,2004,Strategy,Sunflowers,0,0,0.01,77,26,9.1,89,Black Sea Studios,E10+,YES
Ribbit King,PS2,2003,Sports,Atari,0.05,0,0.01,58,10,6.5,4,Bandai,E,YES
Harry Potter and the Sorcerer's Stone,PS,2001,Action,Electronic Arts,1.37,0.14,0.22,64,11,7.5,41,Argonaut Games,E,YES
Scarface: The World is Yours,XB,2006,Action,Vivendi Games,0.37,0,0.02,76,41,8.4,46,Radical Entertainment,M,YES
Alpha Protocol,X360,2010,Role-Playing,Sega,0.23,0,0.04,63,68,7.2,201,Obsidian Entertainment,M,YES
Theatrhythm Final Fantasy: Curtain Call,3DS,2014,Misc,Square Enix,0.13,0.15,0.02,83,52,8.2,66,Indies Zero,T,YES
One Piece: Unlimited World Red,3DS,2013,Action,Namco Bandai Games,0.05,0.28,0.01,75,5,7.6,26,Ganbarion,T,YES
Fight Night Round 2,XB,2005,Fighting,Electronic Arts,0.42,0,0.02,88,48,8.8,27,EA Sports,T,YES
Pokemon Ranger: Guardian Signs,DS,2010,Role-Playing,Nintendo,0.5,0.58,0.05,68,25,8.2,25,Creatures Inc.,E,YES
Agatha Christie: The ABC Murders,DS,2009,Adventure,JoWood Productions,0.08,0,0.01,53,11,6.5,4,Dreamcatcher,T,YES
Atelier Iris: Eternal Mana,PS2,2004,Role-Playing,Tecmo Koei,0.08,0,0.02,74,38,7.7,38,Gust,T,YES
Song of the Deep,PC,2016,Action,Insomniac Games,0.03,0,0,73,12,6.3,15,Insomniac Games,E,YES
Spider-Man: Web of Shadows,Wii,2008,Action,Activision,0.22,0,0.02,63,20,6.9,13,"Treyarch, Shaba Games",T,YES
Prince of Persia: The Sands of Time,GC,2003,Action,Ubisoft,0.25,0,0.01,92,33,8.4,41,Ubisoft,T,YES
Lock On: Modern Air Combat,PC,2003,Simulation,Ubisoft,0,0,0.01,76,20,7.5,549,Eagle Dynamics,E,YES
ESPN: Sports Connection,WiiU,2012,Sports,Ubisoft,0.2,0,0.03,31,13,2.7,18,Ubisoft,E,YES
Darksiders,PS3,2010,Action,THQ,0.01,0,0,82,73,7.9,319,Vigil Games,M,YES
Naruto: The Broken Bond,X360,2008,Action,Ubisoft,0.24,0,0.06,80,34,7.8,46,Ubisoft Montreal,T,YES
Mass Effect 2,PC,2010,Role-Playing,Electronic Arts,0.01,0,0.06,94,55,8.8,3559,BioWare,M,YES
Harry Potter and the Goblet of Fire,DS,2005,Action,Electronic Arts,0.2,0,0.02,68,15,6,6,Magic Pockets,E,YES
Megamind: Ultimate Showdown,PS3,2010,Action,THQ,0.07,0,0.02,43,5,4.2,6,THQ Australia,E10+,YES
Army Corps of Hell,PSV,2011,Action,Square Enix,0.04,0,0.02,57,43,6.6,28,"Entersphere, Inc.",M,YES
Assassin's Creed: Unity,XOne,2014,Action,Ubisoft,2.27,0,0.33,72,59,4.1,1005,"Ubisoft, Ubisoft Montreal",M,YES
Crysis 2,PC,2011,Action,Electronic Arts,0.16,0,0.13,86,42,6.8,1594,Crytek,M,YES
X-Men: The Official Game,X360,2006,Action,Activision,0.16,0,0.01,52,57,6.1,20,"Z-Axis, Ltd.",T,YES
Dragon Ball Z: Harukanaru Densetsu,DS,2007,Role-Playing,Namco Bandai Games,0.19,0,0.02,57,16,6.2,10,Bec,E,YES
Boktai: The Sun is in Your Hand,GBA,2003,Role-Playing,Konami Digital Entertainment,0.1,0,0,83,31,9.6,16,KCEJ,E,YES
The Longest Journey,PC,1999,Adventure,Empire Interactive,0,0,0,91,26,8.9,439,Funcom,M,YES
Van Helsing,PS2,2004,Action,Activision,0.22,0,0.06,64,41,8.5,19,Saffire,T,YES
NBA 2K6,PS2,2005,Action,Take-Two Interactive,0.43,0,0.11,84,23,8.3,13,Visual Concepts,E,YES
Fight Club,PS2,2004,Fighting,Vivendi Games,0.09,0,0.02,36,28,4.4,22,Genuine Games,M,YES
FlatOut: Ultimate Carnage,PC,2008,Racing,Empire Interactive,0,0,0,79,16,7.7,127,Bugbear,T,YES
Ghostbusters: The Video Game,Wii,2009,Action,Atari,0.59,0,0.07,76,29,8.5,28,Red Fly Studio,E10+,YES
Tony Hawk's Pro Skater 5,XOne,2015,Sports,Activision,0.09,0,0.01,39,18,2.1,132,Robomodo,T,YES
DanceMasters,X360,2010,Misc,Konami Digital Entertainment,0.15,0.02,0.01,63,30,5.9,7,GCP1,E10+,YES
Eternal Ring,PS2,2000,Role-Playing,Ubisoft,0.1,0.1,0.03,62,13,5.3,9,From Software,T,YES
NBA 2K11,PS3,2010,Action,Take-Two Interactive,1.41,0.03,0.16,89,46,7.6,105,Visual Concepts,E,YES
F1 Race Stars,X360,2012,Racing,Codemasters,0.07,0,0.02,64,33,5.7,22,Codemasters,E,YES
Tropico 3,X360,2009,Strategy,Kalypso Media,0.15,0.03,0.01,75,33,6.6,22,Haemimont,T,YES
Mario Party 9,Wii,2012,Misc,Nintendo,1.06,0.76,0.22,73,45,6.8,155,Nd Cube,E,YES
The Legend of Zelda: A Link Between Worlds,3DS,2013,Action,Nintendo,1.4,0.46,0.23,91,81,8.9,1057,Nintendo,E,YES
Gravity Rush,PSV,2012,Action,Sony Computer Entertainment,0.21,0.09,0.08,83,73,8.5,625,SCE Japan Studio,T,YES
Fur Fighters: Viggo's Revenge,PS2,2001,Action,Acclaim Entertainment,0.07,0,0.02,64,15,7.3,37,Bizarre Creations,T,YES
Dance Dance Revolution Ultramix 3,XB,2005,Simulation,Konami Digital Entertainment,0.28,0,0.01,75,16,8.6,8,Konami,E10+,YES
Mafia II,PC,2010,Action,Take-Two Interactive,0.17,0,0.05,77,46,7.9,1238,2K Czech,M,YES
Star Wars: Jedi Starfighter,XB,2002,Simulation,Activision,0.35,0,0.02,78,22,5.2,5,Secret Level,T,YES
Tom Clancy's Ghost Recon,XB,2002,Shooter,Ubisoft,1.23,0,0.07,84,29,6.1,27,Red Storm Entertainment,M,YES
MVP Baseball 2005,GC,2005,Sports,Electronic Arts,0.25,0,0.01,88,20,8.7,16,EA Sports,E,YES
Tenchu: Return From Darkness,XB,2004,Action,Activision,0.16,0,0.01,70,55,7,6,K2 LLC,M,YES
The History Channel: Battle for the Pacific,X360,2007,Shooter,Activision,0.05,0,0,35,11,6.1,21,Cauldron Ltd.,T,YES
FIFA Soccer 10,PS3,2009,Sports,Electronic Arts,0.6,0.05,0.52,91,56,7.6,203,EA Sports,E,YES
Guitar Hero 5,Wii,2009,Misc,Activision,0.92,0,0.15,89,25,6.9,49,Vicarious Visions,T,YES
Black,PS2,2006,Shooter,Electronic Arts,1.01,0.03,0.16,79,62,8.4,194,Criterion Games,M,YES
Enslaved: Odyssey to the West,PS3,2010,Action,Namco Bandai Games,0.24,0.01,0.09,80,53,7.4,312,Ninja Theory,T,YES
Fallout 4,PC,2015,Role-Playing,Bethesda Softworks,0.51,0,0.1,84,38,5.4,7512,Bethesda Game Studios,M,YES
Ni no Kuni: Wrath of the White Witch,PS3,2011,Role-Playing,Namco Bandai Games,0.6,0.21,0.23,85,89,8.6,984,Level 5,E10+,YES
NASCAR 2011: The Game,PS3,2011,Racing,Activision,0.25,0,0.02,62,16,3.7,15,Eutechnyx,E,YES
Tiger Woods PGA Tour 11,PS3,2010,Sports,Electronic Arts,0.37,0,0.13,78,40,6.7,17,EA Sports,E,YES
Battlefield 4,X360,2013,Shooter,Electronic Arts,2.15,0.02,0.31,79,21,5.6,542,EA DICE,M,YES
True Crime: Streets of LA,XB,2003,Action,Activision,0.96,0,0.05,77,39,7.8,28,"Luxoflux, Inc.",M,YES
Burnout,PS2,2001,Racing,Acclaim Entertainment,0.36,0,0.1,79,25,7.7,33,Criterion Games,E,YES
NHL 09,X360,2008,Sports,Electronic Arts,0.45,0,0.04,88,41,8.4,61,EA Canada,E10+,YES
Hotel Dusk: Room 215,DS,2007,Adventure,Nintendo,0.26,0.22,0.03,78,57,8.6,102,Cing,T,YES
Night at the Museum: Battle of the Smithsonian,X360,2009,Action,Majesco Entertainment,0.07,0,0.01,50,15,7.1,8,"Majesco Games, Majesco",E10+,YES
The Legendary Starfy,DS,2008,Platform,Nintendo,0.6,0.2,0.05,75,25,8.4,26,TOSE,E,YES
AniMates!,DS,2007,Simulation,Lexicon Entertainment,0.02,0,0,33,4,2.5,4,Dreamcatcher,E,YES
Risen 2: Dark Waters,PC,2012,Role-Playing,Deep Silver,0,0,0.03,69,51,5.6,751,Piranha Bytes,M,YES
Tenchu: Dark Secret,DS,2006,Action,From Software,0.03,0.01,0,37,10,5.1,7,From Software,T,YES
Dead Space 3,PS3,2013,Action,Electronic Arts,0.44,0,0.16,76,37,6.4,522,Visceral Games,M,YES
Tom Clancy's Splinter Cell: Chaos Theory,PS2,2005,Action,Ubisoft,0.36,0,0.14,87,29,8.6,53,Ubisoft Montreal,M,YES
NCAA Football 2005,XB,2004,Sports,Electronic Arts,0.63,0,0.03,89,29,8,12,EA Sports,E,YES
SoulCalibur V,X360,2012,Fighting,Namco Bandai Games,0.39,0.02,0.04,77,56,6.2,124,Project Soul,T,YES
Buffy the Vampire Slayer: Chaos Bleeds,PS2,2003,Action,Vivendi Games,0.09,0,0.02,72,27,8.9,47,Eurocom Entertainment Software,T,YES
"Blast Works: Build, Trade, Destroy",Wii,2008,Shooter,Eidos Interactive,0.09,0,0.01,78,30,7.7,17,BudCat,E,YES
Overlord II,PS3,2009,Action,Codemasters,0.11,0,0.06,72,42,7.6,24,Triumph Studios,T,YES
S.L.A.I.: Steel Lancer Arena International,PS2,2005,Simulation,Konami Digital Entertainment,0.01,0,0,66,16,7.8,10,Genki,T,YES
LEGO The Hobbit,XOne,2014,Action,Warner Bros. Interactive Entertainment,0.13,0,0.02,69,20,6.8,36,TT Games,E10+,YES
Legendary,PS3,2008,Shooter,Atari,0.08,0,0.02,50,31,7.1,31,Spark Unlimited,M,YES
Worms World Party,PC,2001,Strategy,Virgin Interactive,0,0,0,75,8,7.6,68,Team 17,E,YES
Scarface: The World is Yours,Wii,2007,Action,Vivendi Games,0.12,0,0.01,71,23,8.4,29,Radical Entertainment,M,YES
World Series of Poker,PS2,2005,Misc,Activision,0.39,0,0.06,46,15,8.2,20,Activision,E10+,YES
Code Name: S.T.E.A.M.,3DS,2015,Strategy,Nintendo,0.14,0.01,0.02,69,69,7.7,125,Intelligent Systems,T,YES
The Scorpion King: Rise of the Akkadian,PS2,2002,Action,Universal Interactive,0.11,0,0.03,47,12,7.2,6,VU Games,T,YES
The Guy Game,XB,2004,Misc,Gathering of Developers,0.05,0,0,47,20,5.4,7,Top Heavy Studios,M,YES
Iron Man,PS2,2008,Action,Sega,0.36,0,0.19,47,8,5.6,15,Artificial Mind and Movement,T,YES
Electroplankton,DS,2005,Misc,Nintendo,0.01,0.02,0,71,49,7,37,Indies Zero,E,YES
Tom Clancy's Splinter Cell Classic Trilogy HD,PS3,2011,Action,Ubisoft,0.02,0,0,67,21,6.8,29,Ubisoft,M,YES
One Piece: Pirate Warriors,PS3,2012,Action,Namco Bandai Games,0.01,0.86,0.08,64,33,6.5,55,"Omega Force, Tecmo Koei Games",T,YES
Risen 2: Dark Waters,X360,2012,Role-Playing,Deep Silver,0.05,0,0.01,60,18,6,58,Piranha Bytes,M,YES
Final Fantasy IX,PS,2000,Role-Playing,SquareSoft,1.62,2.78,0.14,94,22,8.9,779,SquareSoft,T,YES
Exist Archive: The Other Side of the Sky,PSV,2015,Role-Playing,Aksys Games,0.01,0.05,0,71,8,8.3,12,Tri-Ace,T,YES
Gladius,PS2,2003,Strategy,Activision,0.1,0,0.03,78,27,8,22,LucasArts,T,YES
Baja: Edge of Control,X360,2008,Racing,THQ,0.12,0,0.02,65,35,7.1,18,2XL Games,E,YES
The Dark Spire,DS,2008,Role-Playing,Success,0.04,0,0,69,23,7.7,21,Success,E10+,YES
Dragon's Crown,PS3,2013,Role-Playing,Nippon Ichi Software,0.25,0.17,0.05,82,62,8.3,288,Vanillaware,T,YES
NBA Live 2005,GC,2004,Sports,Electronic Arts,0.35,0,0.01,83,17,6.7,7,EA Canada,E,YES
Earth Defense Force 2017,X360,2006,Action,D3Publisher,0.04,0.03,0,69,55,7.7,60,Sandlot,T,YES
The Gunstringer,X360,2011,Shooter,Microsoft Game Studios,0.26,0,0.04,77,60,8.1,40,Twisted Pixel Games,T,YES
Need for Speed: Shift,X360,2009,Racing,Electronic Arts,0.73,0.01,0.22,83,75,6.5,134,Slightly Mad Studios,E,YES
Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts,2.71,0.08,1.09,82,39,8.6,132,EA Canada,E,YES
NCAA Football 06,XB,2005,Sports,Electronic Arts,0.73,0,0.03,87,38,8.3,27,EA Sports,E,YES
Transformers: Dark of the Moon,X360,2011,Action,Activision,0.13,0,0.03,59,53,6.7,30,High Moon Studios,T,YES
Fantastic 4,GC,2005,Action,Activision,0.19,0,0.01,61,32,4,6,7 Studios,T,YES
Naruto Shippuden: Ninja Destiny 2,DS,2008,Fighting,Takara Tomy,0.19,0.13,0.02,55,12,5.7,11,Takara Tomy,T,YES
Lunar: Silver Star Harmony,PSP,2009,Role-Playing,GungHo,0.19,0.03,0.02,80,26,7.7,47,Game Arts,T,YES
Rocket League,PS4,2016,Sports,505 Games,0.03,0,0.05,85,50,8.7,1290,Psyonix,E,YES
Assassin's Creed,PS3,2007,Adventure,Ubisoft,1.91,0.09,0.82,81,40,7.3,769,Ubisoft Montreal,M,YES
Warriors Orochi 3,X360,2011,Action,Ubisoft Annecy,0.09,0.03,0.01,71,9,8.1,19,Omega Force,T,YES
The Powerpuff Girls: Chemical X-Traction,PS,2001,Action,BAM! Entertainment,0.14,0,0.02,30,6,6.3,4,VIS Entertainment,E,YES
The Legend of Zelda: Majora's Mask 3D,3DS,2015,Action,Nintendo,1.15,0.47,0.17,89,82,9,478,GREZZO,E10+,YES
Sherlock Holmes vs. Jack the Ripper,X360,2009,Adventure,Focus Home Interactive,0.11,0,0.01,62,24,6.8,14,Frogwares,T,YES
Saints Row: Gat out of Hell,PS4,2015,Action,Deep Silver,0,0,0.01,64,45,5.7,98,Volition Inc.,M,YES
Toukiden Kiwami,PSV,2014,Action,Tecmo Koei,0.02,0.17,0.01,82,5,8.6,42,"Omega Force, Koei Tecmo Games",T,YES
Football Manager 2012,PC,2011,Sports,Sega,0.02,0,0.33,84,45,8,172,Sports Interactive,E,YES
Shin Megami Tensei: Devil Survivor Overclocked,3DS,2011,Role-Playing,Ghostlight,0.28,0.06,0.03,78,27,8.2,97,Atlus,T,YES
Monster Rancher EVO,PS2,2005,Role-Playing,Tecmo Koei,0.02,0.05,0.01,58,16,6.8,8,Tecmo,E10+,YES
Arc the Lad: Twilight of the Spirits,PS2,2003,Role-Playing,Sony Computer Entertainment,0.18,0,0.05,72,39,8.2,33,Cattle Call,T,YES
Worldwide Soccer Manager 2009,PC,2008,Simulation,Sega,0,0,0.01,83,29,8.1,30,Sports Interactive,E,YES
SoulCalibur II,GC,2003,Fighting,Namco Bandai Games,0.99,0.11,0.08,93,45,9.1,135,Namco,T,YES
Tenchu: Wrath of Heaven,PS2,2003,Action,Activision,0.44,0.25,0.11,79,33,8.4,38,K2 LLC,M,YES
Fight Night Round 3,X360,2006,Fighting,Electronic Arts,1.33,0.01,0.1,86,67,8.8,264,EA Chicago,T,YES
Disney's Planes,WiiU,2013,Simulation,Disney Interactive Studios,0.14,0,0.02,51,10,5.3,9,Behaviour Interactive,E,YES
Pro Evolution Soccer 2014,PC,2013,Action,Konami Digital Entertainment,0,0,0.01,74,9,4.4,239,Konami,E,YES
Star Wars: Empire at War - Forces of Corruption,PC,2006,Strategy,LucasArts,0,0,0,75,25,8.6,79,Petroglyph,T,YES
Dynasty Warriors: Strikeforce,PS3,2009,Action,Tecmo Koei,0.11,0.07,0.03,64,27,7.3,15,Omega Force,T,YES
Endless Ocean,Wii,2007,Adventure,Nintendo,0.43,0.09,0.09,72,42,8.1,61,Arika,E,YES
Spore Creatures,DS,2008,Simulation,Electronic Arts,0.66,0,0.1,65,20,6.5,21,Griptonite Games,E,YES
InuYasha: The Secret of the Cursed Mask,PS2,2004,Role-Playing,Namco Bandai Games,0.21,0,0.06,51,7,8.1,28,Kamui,T,YES
Eat Lead: The Return of Matt Hazard,X360,2009,Shooter,D3Publisher,0.1,0,0.01,53,53,7,27,Vicious Cycle,T,YES
Frequency,PS2,2001,Misc,Sony Computer Entertainment,0.09,0,0.02,83,26,9,29,Harmonix Music Systems,E,YES
Star Wars The Clone Wars: Republic Heroes,PC,2009,Action,LucasArts,0,0,0,46,9,4.7,46,"LucasArts, Krome Studios",T,YES
Castlevania: Order of Ecclesia,DS,2008,Platform,Konami Digital Entertainment,0.27,0.04,0.03,85,46,8.7,111,Konami,T,YES
The Operative: No One Lives Forever,PS2,2002,Shooter,Electronic Arts,0.07,0,0.02,67,23,8,16,Monolith Productions,T,YES
BMX XXX,GC,2002,Sports,Acclaim Entertainment,0.05,0,0,60,15,5,7,"Z-Axis, Ltd.",M,YES
Baldur's Gate: Dark Alliance,PS2,2001,Role-Playing,Virgin Interactive,0.61,0,0.16,87,29,8.3,90,Snowblind Studios,T,YES
NeoGeo Battle Coliseum,PS2,2005,Fighting,Ignition Entertainment,0.16,0,0.04,66,21,8.8,6,SNK Playmore,T,YES
Persona 4: Arena Ultimax,PS3,2014,Fighting,Atlus,0,0.13,0,84,38,8.1,85,Arc System Works,T,YES
Assassin's Creed IV: Black Flag,PS4,2013,Action,Ubisoft,1.07,0.06,0.42,83,29,7.8,1530,Ubisoft,M,YES
PoPoLoCrois,PSP,2005,Role-Playing,Ignition Entertainment,0.05,0,0,66,41,7.4,17,G-Artists,E,YES
FIFA Soccer 08,PS3,2007,Sports,Electronic Arts,0.35,0.02,0.31,81,28,7.1,47,EA Canada,E,YES
Nintendo Land,WiiU,2012,Misc,Nintendo,2.52,0.46,0.33,77,61,7.9,471,Nintendo,E10+,YES
Kirby: Planet Robobot,3DS,2016,Action,Nintendo,0.28,0.47,0.04,81,71,8.7,87,HAL Labs,E,YES
Castlevania Double Pack,GBA,2006,Platform,Konami Digital Entertainment,0.07,0,0,86,4,8.4,12,KCET,T,YES
Jumper: Griffin's Story,Wii,2008,Action,Eidos Interactive,0.08,0,0.01,28,5,2.5,11,Collision Studios,T,YES
Mario Party 4,GC,2002,Misc,Nintendo,1.13,0.92,0.07,70,26,7.4,74,Hudson,E,YES
Phantasy Star Online Episode III: C.A.R.D. Revolution,GC,2003,Role-Playing,Sega,0.06,0,0,71,24,8.2,13,Sonic Team,T,YES
Venetica,PS3,2010,Role-Playing,DTP Entertainment,0.07,0,0.01,47,14,6.5,6,Deck 13,T,YES
LEGO Star Wars II: The Original Trilogy,PSP,2006,Action,LucasArts,0.58,0,0.32,83,11,8.6,26,Traveller's Tales,E10+,YES
Soldier of Fortune: Gold Edition,PS2,2001,Shooter,Codemasters,0.27,0,0.07,59,14,6.8,17,Pipe Dream Interactive,M,YES
Virtua Tennis 3,PS3,2007,Sports,Sega,0.23,0.03,0.21,80,35,7.9,32,Sega AM3,E,YES
